proband_id,test_name,phase,trialn,f,ans,rsp,rt
4365,face_memory,test,7,c:\Charlie\charlie\stimuli\visual\face_memory\idis11.bmp,No,No,1150
4365,face_memory,test,8,c:\Charlie\charlie\stimuli\visual\face_memory\idis06.bmp,No,No,1150
4365,face_memory,test,9,c:\Charlie\charlie\stimuli\visual\face_memory\idis15.bmp,No,No,2410
4365,face_memory,test,10,c:\Charlie\charlie\stimuli\visual\face_memory\idis14.bmp,No,No,1210
4365,face_memory,test,11,c:\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,Yes,Yes,830
4365,face_memory,test,12,c:\Charlie\charlie\stimuli\visual\face_memory\idis02.bmp,No,No,1510
4365,face_memory,test,13,c:\Charlie\charlie\stimuli\visual\face_memory\idis13.bmp,No,No,1270
4365,face_memory,test,14,c:\Charlie\charlie\stimuli\visual\face_memory\idis18.bmp,No,No,940
4365,face_memory,test,15,c:\Charlie\charlie\stimuli\visual\face_memory\tar01.bmp,Yes,Yes,1320
4365,face_memory,test,16,c:\Charlie\charlie\stimuli\visual\face_memory\tar08.bmp,Yes,Yes,870
4365,face_memory,test,17,c:\Charlie\charlie\stimuli\visual\face_memory\tar12.bmp,Yes,Yes,711
4365,face_memory,test,18,c:\Charlie\charlie\stimuli\visual\face_memory\idis20.bmp,No,No,800
4365,face_memory,test,19,c:\Charlie\charlie\stimuli\visual\face_memory\tar02.bmp,Yes,Yes,1120
4365,face_memory,test,20,c:\Charlie\charlie\stimuli\visual\face_memory\tar11.bmp,Yes,No,3610
4365,face_memory,test,21,c:\Charlie\charlie\stimuli\visual\face_memory\tar19.bmp,Yes,Yes,890
4365,face_memory,test,22,c:\Charlie\charlie\stimuli\visual\face_memory\tar15.bmp,Yes,Yes,1160
4365,face_memory,test,23,c:\Charlie\charlie\stimuli\visual\face_memory\tar10.bmp,Yes,No,2410
4365,face_memory,test,24,c:\Charlie\charlie\stimuli\visual\face_memory\idis07.bmp,No,No,750
